dsample,time_kndm_mod,time_nndm_mod,time_kndm_alg,time_nndm_alg,n_tpoints
sclust,0.451999999999998,2.316,1.176,0.824000000000002,100
sclust,0.661000000000001,10.326,1.17,6.953,200
sclust,0.905000000000001,22.881,1.79299999999999,13.52,300
sclust,1.154,40.994,1.824,39.487,400
sclust,1.72800000000001,80.3,2.16499999999999,89.554,500
sclust,2.31700000000001,125.809,3.19399999999996,244.465,600
sclust,2.75500000000011,183.56,3.75699999999995,309.535,700
sclust,3.32099999999991,258.388,4.26699999999983,392.883,800
sclust,4.07099999999991,341.869,5.01800000000003,1122.162,900
sclust,4.3149999999996,426.693,5.72600000000011,868.986,1000
sclust,4.50800000000072,482.339999999999,6.73099999999977,1788.68,1100
sclust,5.75,601.952000000001,7.65400000000045,4795.925,1200
sclust,5.90500000000247,681.566999999999,8.84699999999975,7731.393,1300
sclust,7.30299999999988,810.956999999999,9.7029999999977,8443.764,1400
sclust,7.01499999999942,1006.13,9.11100000000079,7825.947,1500
sclust,9.73300000000017,1386.038,11.6040000000066,6705.446,1600
sclust,9.99099999999453,1445.882,13.5940000000046,18733.5,1700
sclust,10.2839999999997,1682.716,15.118,16196.969,1800
sclust,10.9500000000007,2028.573,17.41,21846.668,1900
sclust,9.83800000001793,1665.47300000003,17.3300000000017,63890.654,2000
sclust,12.4030000000057,2386.21100000001,20.635,70046.518,2100
sclust,12.9930000000022,2590.398,22.632,75699.914,2200
sclust,14.1830000000045,2931.814,24.556,103587.651,2300
sclust,13.8190000000031,3121.352,25.968,109933.521,2400
sclust,14.5799999999872,3437.163,28.283,114796.111,2500
sclust,18.0500000000029,3957.997,30.589,65266.718,2600
sclust,17.2609999999986,4090.75100000002,33.54,131887.807,2700
sclust,19.3240000000224,4630.37100000001,37.82,166109.711,2800
sclust,18.6369999999879,4768.26500000001,38.978,175849.275,2900
sclust,18.2250000000058,5209.76699999999,42.563,194984.522,3000
sclust,18.3279999999941,4848.893,37.353,122238.765,3100
sclust,25.8570000000182,6122.326,45.773,181462.62,3200
sclust,24.0580000000191,6578.13099999999,48.233,187482.528,3300
sclust,24.7509999999893,7062.62400000001,50.378,193938.09,3400
sclust,20.8839999999909,6712.035,54.357,232747.476,3500
sclust,25.3699999999953,8275.24299999999,56.194,216524.938,3600
sclust,26.9070000000065,8621.07400000002,59.718,291840.541,3700
sclust,33.9789999999921,9326.30699999997,62.685,286865.564,3800
sclust,28.5430000000051,9756.141,66.549,327863.505,3900
sclust,26.5120000000461,9927.326,68.281,398736.682,4000
